bucket,rank,ticker,name,group,layer,close,ret5_pct,ret20_pct,volume_ratio20,setup_score,risk_score,spec_risk_label,signals,score_band,atr_pct,_research_score,_action,_reason,pe,pbr,dividend_yield,revenue_yoy_pct,eps_ttm,eps_yoy_pct,roe_pct,gross_margin_pct,operating_margin_pct,debt_to_equity_pct,current_ratio,free_cashflow_ttm,quality_score,value_score,fundamental_action,fundamental_reason,fundamental_data_status
quality_value_research,74,6201.TW,亞弘電,satellite,quality_value,50.6,-0.78,1.4,1.23,5,0,正常,NONE,開始轉強,1.81,10.28,觀察轉強,開始轉強,15.32,1.72,6.15,6.287906072174598,3.2800000000000002,-40.186915887850475,11.234672800100522,23.471228562380983,10.420448862797805,41.798549796352425,2.900858579326681,903214000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,80,7753.TWO,星亞,satellite,quality_value,42.05,-3.89,3.06,1.04,4,0,正常,NONE,開始轉強,5.05,9.08,觀察轉強,量能未過熱,10.4,1.86,3.49,,4.3,9.090909090909104,17.87573506895245,37.359882607100644,11.557392084131578,62.248554083255044,2.1478172461795944,-89078000.0,3,4,可研究但需確認,EPS TTM>0、ROE>=12%、負債權益可控,ok
quality_value_research,77,5288.TW,豐祥-KY,satellite,quality_value,156.0,-8.24,11.43,2.2,5,1,投機偏高,NONE,開始轉強,5.2,7.65,觀察轉強,風險=投機偏高,14.05,1.93,3.8,23.064942030779378,12.07,-5.026455026455023,13.662999173869201,23.239574312211474,14.464748791321286,33.266057150449235,2.368604482283711,1649376000.0,5,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,78,2313.TW,華通,satellite,quality_value,251.5,5.01,-8.55,1.23,4,0,正常,NONE,開始轉強,7.14,2.79,觀察轉強,開始轉強,49.82,6.84,1.02,-2.861974380401855,5.51,,13.720229147266544,18.700751948962008,10.971290843576906,89.07644099253133,1.6658671591241534,9918096000.0,4,0,品質佳但估值要等,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,14,6525.TW,捷敏-KY,satellite,quality_value,103.0,14.19,27.32,3.0,12,4,投機偏高,"SURGE,TREND,ACCEL",進攻優勢區,4.17,13.46,過熱先等,趨勢成立、風險=投機偏高,16.89,3.02,4.88,11.929823767822256,6.07,14.084507042253524,17.866685639839467,26.140731544687295,19.12139486393593,65.52991820783788,1.8344371587274377,2391031000.0,5,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,23,2376.TW,技嘉,satellite,quality_value,301.0,6.93,35.28,2.06,11,5,投機偏高,"SURGE,TREND",進攻優勢區,3.52,11.56,過熱先等,趨勢成立、風險=投機偏高,15.36,3.17,4.29,74.8382741036844,18.189999999999998,,21.70729739732068,10.284108587342937,4.256093253425532,155.1105052789658,1.7075877902592314,11908926000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、FCF TTM>0,ok
quality_value_research,11,3088.TWO,艾訊,satellite,quality_value,120.5,19.31,47.13,1.57,12,7,疑似炒作風險高,"SURGE,TREND,ACCEL",高風險追價區,4.41,9.5,過熱先等,趨勢成立、風險=疑似炒作風險高,20.49,2.46,2.59,30.52191896591463,5.6899999999999995,81.4516129032258,12.11744593143369,34.02967098211149,12.882765242348231,54.33483744516092,2.237000211363242,1025995000.0,5,2,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,32,2345.TW,智邦,satellite,quality_value,2510.0,9.37,55.42,1.23,9,7,疑似炒作風險高,TREND,高風險追價區,5.78,8.95,過熱先等,趨勢成立、風險=疑似炒作風險高,52.94,24.24,0.6,44.42676270932458,47.129999999999995,,45.64216270467988,17.89719402768047,12.652750297874354,148.51327183258877,1.4731352889674816,59531476000.0,4,0,品質佳但估值要等,EPS TTM>0、營收YoY正、ROE>=12%、FCF TTM>0,ok
quality_value_research,36,2383.TW,台光電,satellite,quality_value,4980.0,13.83,72.62,1.06,8,7,疑似炒作風險高,TREND,高風險追價區,5.38,7.73,過熱先等,趨勢成立、量能未過熱、風險=疑似炒作風險高,102.6,35.35,0.53,93.61728577894677,46.55,48.85114885114885,34.46617016132928,29.422312903388036,21.557485514146453,173.3183795349569,1.3275745946695732,-3302749000.0,3,0,品質觀察,EPS TTM>0、營收YoY正、ROE>=12%,ok
quality_value_research,35,4967.TW,十銓,satellite,quality_value,298.0,-1.65,40.24,1.76,9,5,疑似炒作風險高,"SURGE,TREND,ACCEL",進攻優勢區,6.51,6.44,過熱先等,趨勢成立、風險=疑似炒作風險高,7.4,3.46,3.46,120.49265370477112,39.07,2600.0,46.78227984370488,38.01304306582142,32.11852194508097,208.64251768031156,1.633001792551755,-9625980000.0,3,3,可研究但需確認,EPS TTM>0、營收YoY正、ROE>=12%,ok
