rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
24,2026-05-06,6161.TWO,捷波,satellite,quality_value,44.0,-2.22,5.9,4.39,11.39,278010,108465,2.56,41.86,42.0,43.97,-20.58,5.11,11,2,PULLBACK,進攻優勢區,高檔拉回整理,0,正常,正常,爆量,爆量,0,1,0,0,2.31,標準,B,0,0,0,FLAT
25,2026-05-06,3168.TW,眾福科,satellite,quality_value,45.8,0.0,4.45,4.21,10.9,145048,83105,1.75,44.62,41.98,42.38,-5.57,2.65,11,0,TREND,進攻優勢區,中段延續中,0,正常,正常,結構相對正常,,0,0,0,0,2.95,標準,B,0,0,0,FLAT
26,2026-05-06,2374.TW,佳能,theme,short_attack,79.2,-2.22,8.34,5.74,18.21,10275037,8850203,1.16,73.61,74.5,77.52,-15.89,7.59,10,0,NONE,進攻優勢區,還在觀察,0,正常,正常,走勢與訊號不匹配,走勢與訊號不匹配,0,0,0,1,4.36,活潑,B,0,0,0,FLAT
27,2026-05-06,5490.TWO,同亨,satellite,quality_value,28.05,1.81,4.47,4.47,6.05,970100,521661,1.86,26.75,26.6,27.05,-7.27,4.84,10,1,NONE,進攻優勢區,還在觀察,1,正常,正常,爆量、走勢與訊號不匹配,"爆量,走勢與訊號不匹配",0,1,0,1,2.83,標準,B,0,0,0,FLAT
28,2026-05-06,3019.TW,亞光,theme,short_attack,143.0,0.0,0.0,9.58,18.18,6247852,6594752,0.95,133.65,136.86,138.6,-12.54,7.0,10,0,NONE,進攻優勢區,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,4.07,活潑,X,0,0,0,FLAT
29,2026-05-06,5274.TWO,信驊,satellite,midlong_core,18700.0,5.12,16.19,22.66,63.03,392371,310353,1.26,15103.0,11843.25,9400.75,0.0,23.82,9,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、20日飆漲,"短線急漲,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,2,3,1,6.29,活潑,C,0,0,0,FLAT
30,2026-05-06,2340.TW,台亞,satellite,midlong_core,40.9,-1.92,15.7,4.74,48.46,25790981,17475410,1.48,35.13,29.3,27.81,-4.77,16.42,9,5,"TREND,ACCEL",進攻優勢區,轉強速度有出來,7,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、20日飆漲,"短線急漲,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔,追價風險高",3,2,2,1,8.96,劇烈,X,0,0,0,FLAT
31,2026-05-06,1560.TW,中砂,satellite,quality_value,576.0,0.7,8.68,8.68,21.52,3641954,2771341,1.31,531.5,479.35,420.63,0.0,8.37,9,2,TREND,進攻優勢區,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,4.97,活潑,B,2,0,0,UP
32,2026-05-06,2345.TW,智邦,satellite,quality_value,2485.0,-0.4,8.28,13.47,53.87,6017301,4616192,1.3,2104.0,1653.0,1376.33,-0.8,18.11,9,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,6,疑似炒作風險高,高檔脫離型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,1,3,1,5.84,活潑,C,0,0,0,FLAT
33,2026-05-06,2495.TW,普安,theme,short_attack,42.65,2.4,4.53,-4.05,32.87,12462558,13374118,0.93,40.95,35.62,32.36,-5.64,4.15,9,2,TREND,進攻優勢區,中段延續中,1,正常,正常,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大",1,2,0,0,6.07,活潑,X,1,0,0,UP
